feed_id,country,provider,name,url,licence,licence_url,attribution
mdb-1423,AU,Canberra Metro Operations,Canberra Metro Light Rail,http://files.transport.act.gov.au/feeds/lightrail.pb,CC-BY 4.0,https://creativecommons.org/licenses/by/4.0/legalcode,
tld-4493-vp,AU,Translink,,https://gtfsrt.api.translink.com.au/api/realtime/BOW/VehiclePositions,operator terms,https://translink.com.au/about-translink/open-data/gtfs-rt,
tld-4491-vp,AU,Translink,,https://gtfsrt.api.translink.com.au/api/realtime/INN/VehiclePositions,operator terms,https://translink.com.au/about-translink/open-data/gtfs-rt,
tld-4488-vp,AU,Translink,,https://gtfsrt.api.translink.com.au/api/realtime/MHB/VehiclePositions,operator terms,https://translink.com.au/about-translink/open-data/gtfs-rt,
tld-4489-vp,AU,Translink,,https://gtfsrt.api.translink.com.au/api/realtime/NSI/VehiclePositions,operator terms,https://translink.com.au/about-translink/open-data/gtfs-rt,
mdb-1704,AU,TransLink Sunbus Cairns,,https://gtfsrt.api.translink.com.au/api/realtime/CNS/VehiclePositions,operator terms,https://translink.com.au/about-translink/open-data,
tdg-84122,BE,Syndicat Intercommunal de Mobilité et d'Organisation Urbaine du Valenciennois,Réseau urbain Transvilles,https://www.data.gouv.fr/api/1/datasets/r/74975bc9-525c-4ecd-b6cb-d1ca08863ba8,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
mdb-2847,BG,Urban Mobility Center - Sofia Traffic,,https://gtfs.sofiatraffic.bg/api/v1/vehicle-positions,operator terms,https://www.sofiatraffic.bg/bg/info-center/gtfs-danni,
mdb-1466,CA,Durham Region Transit,,https://drtonline.durhamregiontransit.com/gtfsrealtime/VehiclePositions,operator terms,https://opendata.durham.ca/search?q=service%20alert,
mdb-2592,CA,Guelph Transit,,https://glphprdtmgtfs.glphtrpcloud.com/tmgtfsrealtimewebservice/vehicle/vehiclepositions.pb,operator terms,https://explore.guelph.ca/pages/terms-of-use,
mdb-1607,CA,Halifax Transit,,http://gtfs.halifax.ca/realtime/Vehicle/VehiclePositions.pb,operator terms,http://www.halifax.ca/opendata/transit.php,
mdb-1458,CA,Hamilton Street Railway,,https://opendata.hamilton.ca/GTFS-RT/GTFS_VehiclePositions.pb,operator terms,https://www.hamilton.ca/city-council/data-maps/open-data/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence
mdb-1612,CA,MiWay,,https://www.miapp.ca/GTFS_RT/Vehicle/VehiclePositions.pb,operator terms,http://www.mississauga.ca/portal/miway/developerdownload,
mdb-2391,CZ,Prazska integrovana doprava (PID),,https://api.golemio.cz/v2/vehiclepositions/gtfsrt/vehicle_positions.pb,operator terms,https://pid.cz/o-systemu/opendata/,
tdg-82719,DE,Fluo Grand Est,Réseau urbain Forbus,https://proxy.transport.data.gouv.fr/resource/fluo-forbus-forbach-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83714,DE,Fluo Grand Est,Réseau interurbain Fluo Grand-Est - Haut-Rhin (68),https://proxy.transport.data.gouv.fr/resource/fluo-haut-rhin-68-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
mdb-3058,ES,Metro Bilbao,,https://ctb-gtfs-rt.s3.eu-south-2.amazonaws.com/metro-bilbao-vehicle-positions.pb,operator terms,https://data.ctb.eus/en/pages/legal-notice,
mdb-2835,ES,Renfe commuter trains (Cercanias),,https://gtfsrt.renfe.com/vehicle_positions.pb,operator terms,https://data.renfe.com/dataset/ubicacion-vehiculos,
mdb-3229,FI,Helsingin seudun liikenne,Helsingin seudun liikenne,https://realtime.hsl.fi/realtime/vehicle-positions/v2/hsl,operator terms,https://www.hsl.fi/en/hsl/open-data#gtfs-rt-ap-is,
tdg-81698,FR,Agglo Pays d'Issoire,Réseau urbain Cherpa,https://www.data.gouv.fr/api/1/datasets/r/bbc60d61-bf8f-40ec-9e3b-9c040cc2b06e,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83840,FR,ALEO,Réseau urbain Aléo,https://www.data.gouv.fr/api/1/datasets/r/7c1a4aee-6445-4a2e-90aa-250ade5b9e80,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-80381,FR,Alliance Atlantique,Réseau urbain Move,https://www.data.gouv.fr/api/1/datasets/r/68fc6b99-b51c-4a3c-9740-2edbc4a705bf,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-80382,FR,Alliance Atlantique,Réseau urbain Gratibus,https://www.data.gouv.fr/api/1/datasets/r/e3f2ac4c-758b-4dbd-9854-aa4d95c27d16,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-80662,FR,ALTERNEO,Réseau urbain Alternéo,https://proxy.transport.data.gouv.fr/resource/alterneo-civis-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-80710,FR,Ametis,Réseau urbain Ametis,https://proxy.transport.data.gouv.fr/resource/ametis-amiens-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-81786,FR,Angers Loire Métropole,Réseau urbain Irigo,https://www.data.gouv.fr/api/1/datasets/r/83582223-990a-452d-ba3d-49f2977d0292,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-79746,FR,Armor Argoat Mobilité • Guingamp-Paimpol Mobilité,Réseau urbain et scolaire Guingamp-Paimpol Mobilité,https://proxy.transport.data.gouv.fr/resource/axeo-guingamp-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-83365,FR,Auray Quiberon Terre Atlantique,Réseau urbain Glazgo,https://www.data.gouv.fr/api/1/datasets/r/db7ab07b-daf3-4423-9884-d8d5c659dd13,ODbL 1.0,https://opendatacommons.org/licenses/odbl/1.0/,
tdg-74509,FR,Brest métropole,Réseau urbain Bibus,https://proxy.transport.data.gouv.fr/resource/bibus-brest-gtfs-rt-vehicle-position?token=xdgqKBTAzhw4DSPz6zeGc4c5eW0LhwztcGv4-vpzP4U,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
tdg-83395,FR,CA Luberon Monts de Vaucluse,Réseau urbain Cmonbus,https://www.data.gouv.fr/api/1/datasets/r/cc043d19-1258-433c-9d55-5c62fef2d038,Etalab 2.0,https://www.data.gouv.fr/pages/legal/licences/etalab-2.0,
mdb-2459,FR,Car Jaune,,https://pysae.com/api/v2/groups/car-jaune/gtfs-rt,operator terms,https://transport.data.gouv.fr/datasets/horaires-theoriques-au-format-gtfs-et-horaires-temps-reel-au-format-gtfs-rt-du-reseau-car-jaune-a-la-reunion,
